trsx_id,client_id,cart_id,product_id,date,amount,price,products_price,cart_price
TRX000056,CLI0110,CRT00811,PRD0095,2026-03-22 00:47:24,4,42.58,170.32,3751.6800000000003
TRX000057,CLI0402,CRT02702,PRD0031,2026-05-16 17:47:16,7,267.28,1870.9599999999998,3478.1099999999997
TRX000058,CLI0293,CRT03211,PRD0171,2026-04-08 00:55:14,10,127.91,1279.1,1492.1499999999999
TRX000059,CLI0358,CRT02785,PRD0126,2026-02-01 14:45:45,7,146.67,1026.6899999999998,3739.7299999999996
TRX000060,CLI0020,CRT00370,PRD0080,2026-01-23 02:40:00,5,342.98,1714.9,3683.1400000000003
TRX000061,CLI0311,CRT03083,PRD0077,2026-01-20 05:32:55,9,75.69,681.21,7032.67
TRX000062,CLI0257,CRT02549,PRD0180,2026-05-17 23:58:29,1,217.4,217.4,4011.09
TRX000063,CLI0058,CRT01345,PRD0029,2026-07-23 05:25:58,5,95.22,476.1,11416.449999999999
TRX000064,CLI0100,CRT03407,PRD0006,2026-04-07 23:15:20,1,207.27,207.27,2278.23
TRX000065,CLI0321,CRT03229,PRD0125,2026-01-20 07:39:23,8,54.91,439.28,4893.34
TRX000066,CLI0354,CRT00217,PRD0025,2026-05-03 15:21:18,4,265.13,1060.52,1489.05
TRX000067,CLI0023,CRT00877,PRD0162,2026-03-07 06:12:04,8,195.42,1563.36,5202.07
TRX000068,CLI0182,CRT00131,PRD0046,2026-02-27 11:10:50,4,234.97,939.88,5778.679999999999
TRX000069,CLI0224,CRT02625,PRD0001,2026-07-26 08:29:47,1,260.19,260.19,4957.65
TRX000070,CLI0053,CRT01546,PRD0119,2026-02-25 05:37:37,5,332.64,1663.1999999999998,4436.5
TRX000071,CLI0113,CRT01311,PRD0132,2026-01-17 07:22:40,2,153.95,307.9,4778.89
TRX000072,CLI0222,CRT02210,PRD0176,2026-07-26 00:52:28,6,288.19,1729.1399999999999,5436.57
TRX000073,CLI0004,CRT00104,PRD0181,2026-05-11 13:37:31,1,318.21,318.21,3420.6499999999996
TRX000074,CLI0187,CRT00610,PRD0064,2026-04-13 10:10:51,7,237.14,1659.98,3521.2799999999997
TRX000075,CLI0345,CRT00377,PRD0028,2026-01-31 19:28:21,4,301.62,1206.48,3787.41
TRX000076,CLI0434,CRT01574,PRD0013,2026-07-11 10:05:56,3,103.06,309.18,4339.02
TRX000077,CLI0309,CRT00467,PRD0034,2026-07-03 04:18:29,5,115.14,575.7,1497.22
TRX000078,CLI0006,CRT02231,PRD0022,2026-04-27 13:58:41,1,51.02,51.02,6952.62
TRX000079,CLI0230,CRT01948,PRD0071,2026-06-28 15:52:57,6,76.57,459.41999999999996,575.06
TRX000080,CLI0203,CRT00686,PRD0047,2026-03-05 05:56:40,2,327.59,655.18,6281.889999999999
TRX000081,CLI0043,CRT01719,PRD0067,2026-03-22 21:54:12,1,327.31,327.31,1322.8600000000001
TRX000082,CLI0150,CRT02376,PRD0002,2026-06-18 19:05:33,3,38.12,114.35999999999999,584.63
TRX000083,CLI0092,CRT00790,PRD0019,2026-05-23 20:19:16,7,13.65,95.55,5078.87
TRX000084,CLI0024,CRT02598,PRD0042,2026-07-26 11:51:07,6,88.65,531.9000000000001,7802.360000000001
TRX000085,CLI0015,CRT01520,PRD0155,2026-01-31 10:05:35,9,289.44,2604.96,6637.59
TRX000086,CLI0202,CRT01850,PRD0021,2026-04-06 21:29:36,4,175.98,703.92,6018.05
TRX000087,CLI0065,CRT02766,PRD0128,2026-02-06 13:47:30,9,9.29,83.60999999999999,453.96
TRX000088,CLI0346,CRT00302,PRD0060,2026-07-11 19:26:19,8,339.13,2713.04,5960.91
TRX000089,CLI0305,CRT00085,PRD0134,2026-04-25 06:27:56,10,343.3,3433.0,4351.87
TRX000090,CLI0207,CRT03360,PRD0010,2026-02-15 21:37:43,7,162.15,1135.05,4822.4
TRX000091,CLI0316,CRT00337,PRD0171,2026-06-19 10:57:52,4,127.91,511.64,856.06
TRX000092,CLI0133,CRT00117,PRD0098,2026-04-18 14:43:51,4,136.36,545.44,2515.8
TRX000093,CLI0259,CRT00492,PRD0119,2026-06-25 15:17:03,5,332.64,1663.1999999999998,4389.3099999999995
TRX000094,CLI0196,CRT00019,PRD0128,2026-04-05 06:47:35,7,9.29,65.03,65.03
TRX000095,CLI0106,CRT02711,PRD0053,2026-06-17 05:52:10,8,99.29,794.32,794.32
TRX000096,CLI0435,CRT01990,PRD0122,2026-02-21 15:59:14,5,224.09,1120.45,3146.5299999999997
TRX000097,CLI0381,CRT03026,PRD0026,2026-02-05 19:12:13,7,238.97,1672.79,5467.59
TRX000098,CLI0243,CRT01193,PRD0139,2026-05-29 06:09:21,5,30.96,154.8,5101.74
TRX000099,CLI0142,CRT02389,PRD0051,2026-02-21 00:16:15,7,142.41,996.87,5076.860000000001
TRX000100,CLI0221,CRT03353,PRD0027,2026-02-24 05:29:02,7,209.57,1466.99,5906.83
TRX000101,CLI0257,CRT02549,PRD0195,2026-05-17 23:58:29,1,11.49,11.49,4011.09
TRX000102,CLI0349,CRT01849,PRD0101,2026-06-24 04:26:29,4,26.82,107.28,1493.91
TRX000103,CLI0277,CRT00666,PRD0048,2026-03-11 19:58:18,4,275.16,1100.64,1100.64
TRX000104,CLI0167,CRT00727,PRD0164,2026-01-04 06:05:36,3,242.9,728.7,3778.1400000000003
TRX000105,CLI0024,CRT02897,PRD0126,2026-05-25 02:12:48,8,146.67,1173.36,6129.58
TRX000106,CLI0225,CRT01753,PRD0136,2026-06-11 11:32:53,4,303.73,1214.92,2422.2
TRX000107,CLI0339,CRT01248,PRD0141,2026-01-20 23:15:26,10,13.28,132.79999999999998,132.79999999999998
TRX000108,CLI0231,CRT03150,PRD0108,2026-02-02 23:05:38,10,166.93,1669.3000000000002,7782.700000000001
TRX000109,CLI0404,CRT02987,PRD0022,2026-01-01 05:24:42,8,51.02,408.16,2551.2500000000005
TRX000110,CLI0238,CRT02806,PRD0037,2026-06-08 17:46:38,5,171.38,856.9,856.9
TRX000111,CLI0307,CRT01537,PRD0186,2026-07-12 06:05:06,2,13.84,27.68,4976.74
TRX000112,CLI0099,CRT02190,PRD0002,2026-06-23 00:50:30,6,38.12,228.71999999999997,2991.08
TRX000113,CLI0023,CRT03059,PRD0155,2026-05-25 17:36:53,10,289.44,2894.4,7255.530000000001
TRX000114,CLI0147,CRT01993,PRD0097,2026-05-10 06:14:07,3,275.78,827.3399999999999,7464.969999999999
TRX000115,CLI0390,CRT00446,PRD0009,2026-05-05 08:26:15,1,297.0,297.0,4936.29
TRX000116,CLI0364,CRT01811,PRD0099,2026-07-11 01:39:25,10,248.8,2488.0,5520.79
TRX000117,CLI0196,CRT00354,PRD0077,2026-07-23 04:07:40,5,75.69,378.45,2552.44
TRX000118,CLI0159,CRT01746,PRD0115,2026-06-13 13:12:40,2,301.5,603.0,2008.5
TRX000119,CLI0281,CRT00181,PRD0193,2026-03-06 17:16:20,1,190.14,190.14,190.14
TRX000120,CLI0292,CRT01892,PRD0177,2026-01-13 20:03:39,2,221.23,442.46,7003.71
TRX000121,CLI0128,CRT00079,PRD0152,2026-01-09 16:37:07,1,336.37,336.37,2177.8500000000004
TRX000122,CLI0381,CRT02875,PRD0118,2026-07-19 21:26:29,3,163.96,491.88,1518.5699999999997
TRX000123,CLI0133,CRT01015,PRD0198,2026-05-15 20:56:25,8,156.17,1249.36,4780.96
TRX000124,CLI0380,CRT02899,PRD0086,2026-04-12 18:01:24,7,197.06,1379.42,5355.9
TRX000125,CLI0192,CRT01367,PRD0020,2026-02-04 16:39:56,1,75.82,75.82,2226.91
TRX000126,CLI0196,CRT01253,PRD0175,2026-04-10 12:06:41,8,120.9,967.2,967.2
TRX000127,CLI0109,CRT03054,PRD0189,2026-06-02 00:23:58,9,80.62,725.58,2009.79
TRX000128,CLI0266,CRT00553,PRD0034,2026-01-04 02:29:53,2,115.14,230.28,3048.8800000000006
TRX000129,CLI0314,CRT01009,PRD0094,2026-01-15 03:58:46,10,179.52,1795.2,2986.76
TRX000130,CLI0377,CRT01871,PRD0109,2026-07-26 11:17:25,6,181.62,1089.72,3073.17
TRX000131,CLI0044,CRT00845,PRD0058,2026-04-13 18:16:14,2,275.33,550.66,9234.060000000001
TRX000132,CLI0318,CRT01813,PRD0087,2026-04-08 11:00:50,7,302.95,2120.65,7343.65
TRX000133,CLI0217,CRT02140,PRD0012,2026-05-23 16:26:50,5,69.32,346.59999999999997,3556.8
TRX000134,CLI0316,CRT01093,PRD0104,2026-04-02 11:22:32,9,46.73,420.57,1871.46
TRX000135,CLI0016,CRT02166,PRD0128,2026-06-21 16:12:30,5,9.29,46.449999999999996,5209.160000000001
TRX000136,CLI0003,CRT01911,PRD0158,2026-04-12 04:14:53,10,12.47,124.7,6046.98
TRX000137,CLI0110,CRT03122,PRD0072,2026-03-23 20:41:15,8,308.05,2464.4,3746.95
TRX000138,CLI0290,CRT02040,PRD0106,2026-07-02 22:51:19,8,102.2,817.6,7405.13
TRX000139,CLI0270,CRT03280,PRD0039,2026-02-25 03:44:49,10,305.67,3056.7000000000003,9199.67
TRX000140,CLI0291,CRT03448,PRD0148,2026-06-10 16:47:24,8,270.94,2167.52,5795.6
TRX000141,CLI0234,CRT02287,PRD0035,2026-03-03 13:27:29,4,344.9,1379.6,2320.12
TRX000142,CLI0030,CRT00113,PRD0155,2026-07-26 21:50:47,9,289.44,2604.96,2604.96
TRX000143,CLI0342,CRT01475,PRD0140,2026-02-07 20:34:46,4,80.42,321.68,5184.56
TRX000144,CLI0053,CRT00702,PRD0143,2026-03-14 09:48:03,4,331.85,1327.4,5118.71
TRX000145,CLI0205,CRT03109,PRD0096,2026-01-19 08:07:15,1,15.79,15.79,895.2
TRX000146,CLI0219,CRT00208,PRD0081,2026-07-09 04:13:11,7,151.12,1057.8400000000001,3097.87
TRX000147,CLI0198,CRT00715,PRD0035,2026-07-17 16:07:39,2,344.9,689.8,14078.150000000001
TRX000148,CLI0219,CRT02859,PRD0148,2026-05-03 02:14:01,5,270.94,1354.7,2773.17
TRX000149,CLI0244,CRT01154,PRD0054,2026-02-05 06:51:11,5,301.82,1509.1,1993.6999999999998
TRX000150,CLI0424,CRT02651,PRD0097,2026-07-03 07:40:05,4,275.78,1103.12,5315.2
TRX000151,CLI0285,CRT03194,PRD0132,2026-04-11 07:00:52,6,153.95,923.6999999999999,3926.25
TRX000152,CLI0058,CRT00219,PRD0156,2026-02-03 02:08:06,8,87.81,702.48,1540.76
TRX000153,CLI0308,CRT01728,PRD0073,2026-02-01 11:24:39,6,292.23,1753.38,2396.7400000000002
TRX000154,CLI0275,CRT02820,PRD0185,2026-03-10 03:57:26,5,144.46,722.3000000000001,5193.75
TRX000155,CLI0175,CRT01974,PRD0173,2026-07-20 12:56:02,8,330.57,2644.56,5834.96
TRX000156,CLI0043,CRT02136,PRD0128,2026-06-12 18:13:12,9,9.29,83.60999999999999,2297.04
TRX000157,CLI0210,CRT02923,PRD0064,2026-06-06 10:44:12,10,237.14,2371.3999999999996,6692.299999999999
TRX000158,CLI0216,CRT02827,PRD0075,2026-07-10 12:03:32,4,38.5,154.0,2396.14
TRX000159,CLI0339,CRT01211,PRD0158,2026-04-23 23:12:48,6,12.47,74.82000000000001,3345.7
TRX000160,CLI0162,CRT00248,PRD0079,2026-01-31 18:06:31,1,98.65,98.65,409.08000000000004
TRX000161,CLI0083,CRT01457,PRD0112,2026-07-02 19:29:25,6,344.42,2066.52,2856.81
TRX000162,CLI0170,CRT02588,PRD0035,2026-07-26 03:38:50,3,344.9,1034.6999999999998,1034.6999999999998
TRX000163,CLI0102,CRT03253,PRD0174,2026-06-25 10:14:02,7,6.76,47.32,219.72
TRX000164,CLI0080,CRT03107,PRD0002,2026-01-27 10:34:57,1,38.12,38.12,681.44
TRX000165,CLI0255,CRT01676,PRD0022,2026-06-12 02:44:32,3,51.02,153.06,6865.97
TRX000166,CLI0297,CRT00454,PRD0037,2026-05-20 20:45:32,8,171.38,1371.04,3178.36
TRX000167,CLI0326,CRT02532,PRD0146,2026-06-26 13:24:18,1,318.04,318.04,2748.51
TRX000168,CLI0397,CRT00365,PRD0133,2026-02-24 15:26:41,7,238.5,1669.5,3571.48
TRX000169,CLI0402,CRT01739,PRD0128,2026-02-07 13:12:58,9,9.29,83.60999999999999,3735.5
TRX000170,CLI0128,CRT00789,PRD0034,2026-05-26 22:46:02,8,115.14,921.12,1814.73
TRX000171,CLI0334,CRT01226,PRD0177,2026-03-11 12:11:44,6,221.23,1327.3799999999999,2940.92
TRX000172,CLI0173,CRT01672,PRD0060,2026-05-08 18:18:18,7,339.13,2373.91,3627.3999999999996
TRX000173,CLI0323,CRT02736,PRD0035,2026-07-07 09:48:30,8,344.9,2759.2,5066.139999999999
TRX000174,CLI0052,CRT03068,PRD0083,2026-05-09 05:28:05,1,194.5,194.5,5104.16
TRX000175,CLI0274,CRT00798,PRD0118,2026-06-03 16:07:46,8,163.96,1311.68,8458.74
TRX000176,CLI0319,CRT03260,PRD0051,2026-01-28 22:06:39,2,142.41,284.82,3846.9900000000002
TRX000177,CLI0138,CRT00093,PRD0037,2026-06-16 14:54:34,9,171.38,1542.42,4103.11
TRX000178,CLI0325,CRT02737,PRD0003,2026-06-28 23:30:16,2,149.12,298.24,4015.8
TRX000179,CLI0367,CRT00687,PRD0171,2026-07-08 23:31:11,3,127.91,383.73,5358.27
TRX000180,CLI0248,CRT02129,PRD0034,2026-01-08 14:50:11,10,115.14,1151.4,1438.3000000000002
TRX000181,CLI0304,CRT01328,PRD0033,2026-03-14 15:09:15,3,267.47,802.4100000000001,6589.6
TRX000182,CLI0169,CRT02393,PRD0185,2026-05-26 17:52:30,4,144.46,577.84,4404.73
TRX000183,CLI0160,CRT00064,PRD0018,2026-03-13 17:53:57,7,115.19,806.3299999999999,5564.969999999999
TRX000184,CLI0412,CRT01688,PRD0114,2026-03-18 15:45:42,2,141.38,282.76,2574.37
TRX000185,CLI0264,CRT01355,PRD0036,2026-01-30 02:34:47,4,86.2,344.8,3717.31
TRX000186,CLI0085,CRT01321,PRD0003,2026-04-23 08:52:14,10,149.12,1491.2,1491.2
TRX000187,CLI0187,CRT00439,PRD0003,2026-05-09 00:23:08,2,149.12,298.24,3392.7799999999997
TRX000188,CLI0109,CRT02455,PRD0141,2026-04-28 08:00:48,3,13.28,39.839999999999996,3763.45
TRX000189,CLI0224,CRT01924,PRD0084,2026-06-10 19:36:33,4,129.22,516.88,3064.81
TRX000190,CLI0129,CRT00405,PRD0035,2026-01-26 07:11:15,8,344.9,2759.2,7149.48
TRX000191,CLI0356,CRT00413,PRD0139,2026-05-30 05:32:54,8,30.96,247.68,10655.130000000001
TRX000192,CLI0134,CRT02155,PRD0008,2026-07-12 16:28:58,5,119.47,597.35,2286.09
TRX000193,CLI0425,CRT03163,PRD0082,2026-05-19 15:30:16,6,316.62,1899.72,3835.14
TRX000194,CLI0173,CRT01232,PRD0001,2026-06-23 06:33:02,10,260.19,2601.9,7112.280000000001
TRX000195,CLI0008,CRT01201,PRD0184,2026-07-09 04:03:41,10,85.85,858.5,7110.4800000000005
TRX000196,CLI0399,CRT03214,PRD0179,2026-04-02 06:47:32,9,196.43,1767.8700000000001,5722.75
TRX000197,CLI0269,CRT00834,PRD0166,2026-01-11 11:37:33,5,124.75,623.75,3647.96
TRX000198,CLI0425,CRT00322,PRD0011,2026-02-27 23:04:31,2,104.38,208.76,2179.7599999999998
TRX000199,CLI0089,CRT00036,PRD0117,2026-02-12 07:42:52,4,196.2,784.8,3029.45
TRX000200,CLI0176,CRT01446,PRD0087,2026-06-17 23:31:19,4,302.95,1211.8,3220.15
TRX000201,CLI0098,CRT02634,PRD0038,2026-04-10 15:25:35,8,231.76,1854.08,8540.71
TRX000202,CLI0017,CRT02828,PRD0096,2026-02-11 07:14:42,7,15.79,110.53,1138.81
TRX000203,CLI0289,CRT01877,PRD0058,2026-06-03 15:24:12,9,275.33,2477.97,4089.46
TRX000204,CLI0197,CRT00161,PRD0008,2026-05-09 21:25:58,8,119.47,955.76,4307.42
TRX000205,CLI0030,CRT02807,PRD0144,2026-04-02 00:12:52,1,213.05,213.05,1930.44
TRX000206,CLI0017,CRT03057,PRD0123,2026-03-03 09:48:00,6,85.64,513.84,2575.36
TRX000207,CLI0356,CRT00875,PRD0010,2026-06-28 00:40:10,9,162.15,1459.3500000000001,4276.45
TRX000208,CLI0428,CRT00200,PRD0153,2026-05-27 17:59:23,1,63.71,63.71,753.3100000000001
TRX000209,CLI0344,CRT00199,PRD0115,2026-01-23 04:01:14,8,301.5,2412.0,4856.1900000000005
TRX000210,CLI0100,CRT01535,PRD0050,2026-07-16 22:51:57,10,164.79,1647.8999999999999,5692.41
TRX000211,CLI0286,CRT00990,PRD0153,2026-02-23 01:46:51,2,63.71,127.42,2803.0200000000004
TRX000212,CLI0241,CRT01100,PRD0108,2026-03-01 08:08:53,1,166.93,166.93,10853.04
TRX000213,CLI0093,CRT02109,PRD0036,2026-04-17 00:52:33,7,86.2,603.4,2979.4
TRX000214,CLI0163,CRT03117,PRD0033,2026-03-29 22:00:15,6,267.47,1604.8200000000002,8988.16
TRX000215,CLI0380,CRT03494,PRD0168,2026-06-29 19:54:14,2,260.65,521.3,1937.06
TRX000216,CLI0090,CRT00455,PRD0019,2026-04-07 23:47:58,1,13.65,13.65,1582.18
TRX000217,CLI0355,CRT01393,PRD0190,2026-07-07 14:48:16,7,23.22,162.54,8173.58
TRX000218,CLI0108,CRT02302,PRD0045,2026-07-06 02:57:50,5,301.22,1506.1000000000001,2848.6800000000003
TRX000219,CLI0127,CRT02299,PRD0171,2026-01-14 22:55:04,1,127.91,127.91,2036.29
TRX000220,CLI0055,CRT00268,PRD0139,2026-03-07 22:14:25,8,30.96,247.68,2486.11
TRX000221,CLI0163,CRT03285,PRD0084,2026-03-23 07:12:51,1,129.22,129.22,1038.07
TRX000222,CLI0373,CRT00721,PRD0005,2026-01-11 20:00:34,8,228.33,1826.64,2512.25
TRX000223,CLI0300,CRT02469,PRD0106,2026-04-25 13:55:18,9,102.2,919.8000000000001,919.8000000000001
TRX000224,CLI0102,CRT02847,PRD0093,2026-05-02 03:45:08,4,302.86,1211.44,8043.56
TRX000225,CLI0401,CRT03142,PRD0132,2026-06-02 07:13:45,9,153.95,1385.55,3580.9700000000003
TRX000226,CLI0186,CRT03006,PRD0065,2026-01-01 07:24:04,5,88.06,440.3,4161.92
TRX000227,CLI0246,CRT01553,PRD0057,2026-03-31 11:20:38,8,59.71,477.68,3214.34
TRX000228,CLI0410,CRT01060,PRD0023,2026-05-04 18:12:23,9,262.09,2358.81,6284.44
TRX000229,CLI0323,CRT01285,PRD0138,2026-06-26 13:04:49,5,308.17,1540.8500000000001,1540.8500000000001
TRX000230,CLI0249,CRT01930,PRD0084,2026-05-01 00:42:52,9,129.22,1162.98,1494.83
TRX000231,CLI0317,CRT03042,PRD0169,2026-01-15 07:58:12,4,259.17,1036.68,4956.280000000001
TRX000232,CLI0058,CRT00855,PRD0095,2026-06-21 15:03:29,1,42.58,42.58,1242.44
TRX000233,CLI0110,CRT03126,PRD0088,2026-01-14 07:42:00,4,64.83,259.32,4745.45
TRX000234,CLI0082,CRT01117,PRD0026,2026-05-04 13:58:27,5,238.97,1194.85,5171.139999999999
TRX000235,CLI0212,CRT01895,PRD0057,2026-01-25 16:55:03,9,59.71,537.39,3305.67
TRX000236,CLI0428,CRT00366,PRD0142,2026-01-27 07:29:05,6,55.45,332.70000000000005,639.8100000000001
TRX000237,CLI0329,CRT01214,PRD0143,2026-03-09 04:13:23,8,331.85,2654.8,5648.86
TRX000238,CLI0322,CRT01438,PRD0071,2026-01-06 10:40:26,4,76.57,306.28,3118.9
TRX000239,CLI0116,CRT03327,PRD0003,2026-01-24 09:36:18,7,149.12,1043.8400000000001,2703.82
TRX000240,CLI0124,CRT01702,PRD0066,2026-02-08 10:55:57,6,148.18,889.08,889.08
TRX000241,CLI0064,CRT00275,PRD0093,2026-07-17 16:24:08,5,302.86,1514.3000000000002,3786.8
TRX000242,CLI0293,CRT03193,PRD0040,2026-04-21 08:48:17,1,256.15,256.15,4880.59
TRX000243,CLI0036,CRT02945,PRD0085,2026-02-06 02:37:23,5,239.52,1197.6000000000001,3452.0000000000005
TRX000244,CLI0145,CRT01824,PRD0089,2026-03-09 22:18:58,5,57.82,289.1,1519.74
TRX000245,CLI0060,CRT01068,PRD0086,2026-01-02 11:19:20,10,197.06,1970.6,2432.56
TRX000246,CLI0213,CRT01936,PRD0030,2026-05-07 21:04:06,3,153.58,460.74,5938.49
TRX000247,CLI0016,CRT00430,PRD0045,2026-05-29 21:04:37,8,301.22,2409.76,3744.9700000000003
TRX000248,CLI0358,CRT02538,PRD0023,2026-06-20 23:29:45,3,262.09,786.27,5535.87
TRX000249,CLI0283,CRT02758,PRD0197,2026-03-11 22:07:01,9,267.68,2409.12,5379.12
TRX000250,CLI0093,CRT00126,PRD0178,2026-03-17 03:33:13,1,198.09,198.09,3134.6099999999997
TRX000251,CLI0089,CRT00823,PRD0158,2026-05-05 20:58:47,10,12.47,124.7,7347.469999999999
TRX000252,CLI0050,CRT01541,PRD0023,2026-05-17 21:07:07,1,262.09,262.09,4818.68
TRX000253,CLI0029,CRT02675,PRD0129,2026-01-25 12:56:47,4,4.55,18.2,18.2
TRX000254,CLI0107,CRT03336,PRD0159,2026-06-01 19:12:39,2,125.8,251.6,8072.28
TRX000255,CLI0160,CRT00075,PRD0052,2026-07-01 18:27:06,8,68.6,548.8,4707.48
TRX000256,CLI0276,CRT02928,PRD0143,2026-06-18 21:14:09,9,331.85,2986.65,7073.05
TRX000257,CLI0234,CRT00947,PRD0193,2026-01-11 08:56:47,9,190.14,1711.2599999999998,6163.83
