trsx_id,amount,price,products_price,cart_id,product_id
TRX000041,9,13.65,122.85,CRT02307,PRD0019
TRX000042,1,228.33,228.33,CRT00908,PRD0041
TRX000043,6,15.96,95.76,CRT02443,PRD0090
TRX000044,4,54.91,219.64,CRT02061,PRD0125
TRX000045,9,246.16,2215.44,CRT02033,PRD0160
TRX000046,4,163.96,655.84,CRT02046,PRD0118
TRX000047,4,171.38,685.52,CRT02905,PRD0037
TRX000048,9,15.96,143.64,CRT00237,PRD0090
TRX000049,6,13.28,79.67999999999999,CRT00104,PRD0141
TRX000050,7,75.82,530.74,CRT02566,PRD0020
TRX000051,10,38.5,385.0,CRT00811,PRD0075
TRX000052,4,40.06,160.24,CRT02329,PRD0145
TRX000053,3,238.97,716.91,CRT01749,PRD0026
TRX000054,10,239.52,2395.2000000000003,CRT02378,PRD0085
TRX000055,2,288.92,577.84,CRT01133,PRD0191
TRX000056,4,42.58,170.32,CRT00811,PRD0095
TRX000057,7,267.28,1870.96,CRT02702,PRD0031
TRX000058,10,127.91,1279.1,CRT03211,PRD0171
TRX000059,7,146.67,1026.6899999999998,CRT02785,PRD0126
TRX000060,5,342.98,1714.9,CRT00370,PRD0080
TRX000061,9,75.69,681.21,CRT03083,PRD0077
TRX000062,1,217.4,217.4,CRT02549,PRD0180
TRX000063,5,95.22,476.1,CRT01345,PRD0029
TRX000064,1,207.27,207.27,CRT03407,PRD0006
TRX000065,8,54.91,439.28,CRT03229,PRD0125
TRX000066,4,265.13,1060.52,CRT00217,PRD0025
TRX000067,8,195.42,1563.36,CRT00877,PRD0162
TRX000068,4,234.97,939.88,CRT00131,PRD0046
TRX000069,1,260.19,260.19,CRT02625,PRD0001
TRX000070,5,332.64,1663.1999999999998,CRT01546,PRD0119
TRX000071,2,153.95,307.9,CRT01311,PRD0132
TRX000072,6,288.19,1729.14,CRT02210,PRD0176
TRX000073,1,318.21,318.21,CRT00104,PRD0181
TRX000074,7,237.14,1659.98,CRT00610,PRD0064
TRX000075,4,301.62,1206.48,CRT00377,PRD0028
TRX000076,3,103.06,309.18,CRT01574,PRD0013
TRX000077,5,115.14,575.7,CRT00467,PRD0034
TRX000078,1,51.02,51.02,CRT02231,PRD0022
TRX000079,6,76.57,459.42,CRT01948,PRD0071
TRX000080,2,327.59,655.18,CRT00686,PRD0047
TRX000081,1,327.31,327.31,CRT01719,PRD0067
TRX000082,3,38.12,114.36,CRT02376,PRD0002
TRX000083,7,13.65,95.55,CRT00790,PRD0019
TRX000084,6,88.65,531.9000000000001,CRT02598,PRD0042
TRX000085,9,289.44,2604.96,CRT01520,PRD0155
TRX000086,4,175.98,703.92,CRT01850,PRD0021
TRX000087,9,9.29,83.60999999999999,CRT02766,PRD0128
TRX000088,8,339.13,2713.04,CRT00302,PRD0060
TRX000089,10,343.3,3433.0,CRT00085,PRD0134
TRX000090,7,162.15,1135.05,CRT03360,PRD0010
TRX000091,4,127.91,511.64,CRT00337,PRD0171
TRX000092,4,136.36,545.44,CRT00117,PRD0098
TRX000093,5,332.64,1663.1999999999998,CRT00492,PRD0119
TRX000094,7,9.29,65.03,CRT00019,PRD0128
TRX000095,8,99.29,794.32,CRT02711,PRD0053
TRX000096,5,224.09,1120.45,CRT01990,PRD0122
TRX000097,7,238.97,1672.79,CRT03026,PRD0026
TRX000098,5,30.96,154.8,CRT01193,PRD0139
TRX000099,7,142.41,996.87,CRT02389,PRD0051
TRX000100,7,209.57,1466.99,CRT03353,PRD0027
TRX000101,1,11.49,11.49,CRT02549,PRD0195
TRX000102,4,26.82,107.28,CRT01849,PRD0101
TRX000103,4,275.16,1100.64,CRT00666,PRD0048
TRX000104,3,242.9,728.7,CRT00727,PRD0164
TRX000105,8,146.67,1173.36,CRT02897,PRD0126
TRX000106,4,303.73,1214.92,CRT01753,PRD0136
TRX000107,10,13.28,132.79999999999998,CRT01248,PRD0141
TRX000108,10,166.93,1669.3000000000002,CRT03150,PRD0108
TRX000109,8,51.02,408.16,CRT02987,PRD0022
TRX000110,5,171.38,856.9,CRT02806,PRD0037
TRX000111,2,13.84,27.68,CRT01537,PRD0186
TRX000112,6,38.12,228.72,CRT02190,PRD0002
TRX000113,10,289.44,2894.4,CRT03059,PRD0155
TRX000114,3,275.78,827.3399999999999,CRT01993,PRD0097
TRX000115,1,297.0,297.0,CRT00446,PRD0009
TRX000116,10,248.8,2488.0,CRT01811,PRD0099
TRX000117,5,75.69,378.45,CRT00354,PRD0077
TRX000118,2,301.5,603.0,CRT01746,PRD0115
TRX000119,1,190.14,190.14,CRT00181,PRD0193
TRX000120,2,221.23,442.46,CRT01892,PRD0177
TRX000121,1,336.37,336.37,CRT00079,PRD0152
TRX000122,3,163.96,491.88,CRT02875,PRD0118
TRX000123,8,156.17,1249.36,CRT01015,PRD0198
TRX000124,7,197.06,1379.42,CRT02899,PRD0086
TRX000125,1,75.82,75.82,CRT01367,PRD0020
TRX000126,8,120.9,967.2,CRT01253,PRD0175
TRX000127,9,80.62,725.58,CRT03054,PRD0189
TRX000128,2,115.14,230.28,CRT00553,PRD0034
TRX000129,10,179.52,1795.2,CRT01009,PRD0094
TRX000130,6,181.62,1089.72,CRT01871,PRD0109
TRX000131,2,275.33,550.66,CRT00845,PRD0058
TRX000132,7,302.95,2120.65,CRT01813,PRD0087
TRX000133,5,69.32,346.6,CRT02140,PRD0012
TRX000134,9,46.73,420.57,CRT01093,PRD0104
TRX000135,5,9.29,46.45,CRT02166,PRD0128
TRX000136,10,12.47,124.7,CRT01911,PRD0158
TRX000137,8,308.05,2464.4,CRT03122,PRD0072
TRX000138,8,102.2,817.6,CRT02040,PRD0106
TRX000139,10,305.67,3056.7000000000003,CRT03280,PRD0039
TRX000140,8,270.94,2167.52,CRT03448,PRD0148
TRX000141,4,344.9,1379.6,CRT02287,PRD0035
TRX000142,9,289.44,2604.96,CRT00113,PRD0155
TRX000143,4,80.42,321.68,CRT01475,PRD0140
TRX000144,4,331.85,1327.4,CRT00702,PRD0143
TRX000145,1,15.79,15.79,CRT03109,PRD0096
TRX000146,7,151.12,1057.84,CRT00208,PRD0081
TRX000147,2,344.9,689.8,CRT00715,PRD0035
TRX000148,5,270.94,1354.7,CRT02859,PRD0148
TRX000149,5,301.82,1509.1,CRT01154,PRD0054
TRX000150,4,275.78,1103.12,CRT02651,PRD0097
TRX000151,6,153.95,923.7,CRT03194,PRD0132
TRX000152,8,87.81,702.48,CRT00219,PRD0156
TRX000153,6,292.23,1753.38,CRT01728,PRD0073
TRX000154,5,144.46,722.3000000000001,CRT02820,PRD0185
TRX000155,8,330.57,2644.56,CRT01974,PRD0173
TRX000156,9,9.29,83.60999999999999,CRT02136,PRD0128
TRX000157,10,237.14,2371.4,CRT02923,PRD0064
TRX000158,4,38.5,154.0,CRT02827,PRD0075
TRX000159,6,12.47,74.82000000000001,CRT01211,PRD0158
TRX000160,1,98.65,98.65,CRT00248,PRD0079
TRX000161,6,344.42,2066.52,CRT01457,PRD0112
TRX000162,3,344.9,1034.6999999999998,CRT02588,PRD0035
TRX000163,7,6.76,47.32,CRT03253,PRD0174
TRX000164,1,38.12,38.12,CRT03107,PRD0002
TRX000165,3,51.02,153.06,CRT01676,PRD0022
TRX000166,8,171.38,1371.04,CRT00454,PRD0037
TRX000167,1,318.04,318.04,CRT02532,PRD0146
TRX000168,7,238.5,1669.5,CRT00365,PRD0133
TRX000169,9,9.29,83.60999999999999,CRT01739,PRD0128
TRX000170,8,115.14,921.12,CRT00789,PRD0034
TRX000171,6,221.23,1327.38,CRT01226,PRD0177
TRX000172,7,339.13,2373.91,CRT01672,PRD0060
TRX000173,8,344.9,2759.2,CRT02736,PRD0035
TRX000174,1,194.5,194.5,CRT03068,PRD0083
TRX000175,8,163.96,1311.68,CRT00798,PRD0118
TRX000176,2,142.41,284.82,CRT03260,PRD0051
TRX000177,9,171.38,1542.42,CRT00093,PRD0037
TRX000178,2,149.12,298.24,CRT02737,PRD0003
TRX000179,3,127.91,383.73,CRT00687,PRD0171
TRX000180,10,115.14,1151.4,CRT02129,PRD0034
TRX000181,3,267.47,802.4100000000001,CRT01328,PRD0033
TRX000182,4,144.46,577.84,CRT02393,PRD0185
TRX000183,7,115.19,806.3299999999999,CRT00064,PRD0018
TRX000184,2,141.38,282.76,CRT01688,PRD0114
TRX000185,4,86.2,344.8,CRT01355,PRD0036
TRX000186,10,149.12,1491.2,CRT01321,PRD0003
TRX000187,2,149.12,298.24,CRT00439,PRD0003
TRX000188,3,13.28,39.84,CRT02455,PRD0141
TRX000189,4,129.22,516.88,CRT01924,PRD0084
TRX000190,8,344.9,2759.2,CRT00405,PRD0035
TRX000191,8,30.96,247.68,CRT00413,PRD0139
TRX000192,5,119.47,597.35,CRT02155,PRD0008
TRX000193,6,316.62,1899.72,CRT03163,PRD0082
TRX000194,10,260.19,2601.9,CRT01232,PRD0001
TRX000195,10,85.85,858.5,CRT01201,PRD0184
TRX000196,9,196.43,1767.87,CRT03214,PRD0179
TRX000197,5,124.75,623.75,CRT00834,PRD0166
TRX000198,2,104.38,208.76,CRT00322,PRD0011
TRX000199,4,196.2,784.8,CRT00036,PRD0117
TRX000200,4,302.95,1211.8,CRT01446,PRD0087
TRX000201,8,231.76,1854.08,CRT02634,PRD0038
TRX000202,7,15.79,110.53,CRT02828,PRD0096
TRX000203,9,275.33,2477.97,CRT01877,PRD0058
TRX000204,8,119.47,955.76,CRT00161,PRD0008
TRX000205,1,213.05,213.05,CRT02807,PRD0144
TRX000206,6,85.64,513.84,CRT03057,PRD0123
TRX000207,9,162.15,1459.35,CRT00875,PRD0010
TRX000208,1,63.71,63.71,CRT00200,PRD0153
TRX000209,8,301.5,2412.0,CRT00199,PRD0115
TRX000210,10,164.79,1647.9,CRT01535,PRD0050
TRX000211,2,63.71,127.42,CRT00990,PRD0153
TRX000212,1,166.93,166.93,CRT01100,PRD0108
TRX000213,7,86.2,603.4,CRT02109,PRD0036
TRX000214,6,267.47,1604.8200000000002,CRT03117,PRD0033
TRX000215,2,260.65,521.3,CRT03494,PRD0168
TRX000216,1,13.65,13.65,CRT00455,PRD0019
TRX000217,7,23.22,162.54,CRT01393,PRD0190
TRX000218,5,301.22,1506.1,CRT02302,PRD0045
TRX000219,1,127.91,127.91,CRT02299,PRD0171
TRX000220,8,30.96,247.68,CRT00268,PRD0139
TRX000221,1,129.22,129.22,CRT03285,PRD0084
TRX000222,8,228.33,1826.64,CRT00721,PRD0005
TRX000223,9,102.2,919.8,CRT02469,PRD0106
TRX000224,4,302.86,1211.44,CRT02847,PRD0093
TRX000225,9,153.95,1385.55,CRT03142,PRD0132
TRX000226,5,88.06,440.3,CRT03006,PRD0065
TRX000227,8,59.71,477.68,CRT01553,PRD0057
TRX000228,9,262.09,2358.81,CRT01060,PRD0023
TRX000229,5,308.17,1540.85,CRT01285,PRD0138
TRX000230,9,129.22,1162.98,CRT01930,PRD0084
TRX000231,4,259.17,1036.68,CRT03042,PRD0169
TRX000232,1,42.58,42.58,CRT00855,PRD0095
TRX000233,4,64.83,259.32,CRT03126,PRD0088
TRX000234,5,238.97,1194.85,CRT01117,PRD0026
TRX000235,9,59.71,537.39,CRT01895,PRD0057
TRX000236,6,55.45,332.70000000000005,CRT00366,PRD0142
TRX000237,8,331.85,2654.8,CRT01214,PRD0143
TRX000238,4,76.57,306.28,CRT01438,PRD0071
TRX000239,7,149.12,1043.84,CRT03327,PRD0003
TRX000240,6,148.18,889.08,CRT01702,PRD0066
TRX000241,5,302.86,1514.3000000000002,CRT00275,PRD0093
TRX000242,1,256.15,256.15,CRT03193,PRD0040
TRX000243,5,239.52,1197.6,CRT02945,PRD0085
TRX000244,5,57.82,289.1,CRT01824,PRD0089
TRX000245,10,197.06,1970.6,CRT01068,PRD0086
TRX000246,3,153.58,460.74,CRT01936,PRD0030
TRX000247,8,301.22,2409.76,CRT00430,PRD0045
TRX000248,3,262.09,786.27,CRT02538,PRD0023
TRX000249,9,267.68,2409.12,CRT02758,PRD0197
TRX000250,1,198.09,198.09,CRT00126,PRD0178
TRX000251,10,12.47,124.7,CRT00823,PRD0158
TRX000252,1,262.09,262.09,CRT01541,PRD0023
TRX000253,4,4.55,18.2,CRT02675,PRD0129
TRX000254,2,125.8,251.6,CRT03336,PRD0159
TRX000255,8,68.6,548.8,CRT00075,PRD0052
TRX000256,9,331.85,2986.65,CRT02928,PRD0143
TRX000257,9,190.14,1711.2599999999998,CRT00947,PRD0193
TRX000258,4,339.13,1356.52,CRT02059,PRD0060
TRX000259,7,281.86,1973.02,CRT01052,PRD0188
TRX000260,5,213.05,1065.25,CRT03378,PRD0144
TRX000261,4,172.26,689.04,CRT00210,PRD0078
TRX000262,2,143.73,287.46,CRT02992,PRD0056
TRX000263,7,242.9,1700.3,CRT01344,PRD0164
TRX000264,8,78.71,629.68,CRT00066,PRD0024
TRX000265,9,151.36,1362.2400000000002,CRT01340,PRD0150
TRX000266,6,10.72,64.32000000000001,CRT01555,PRD0092
TRX000267,10,302.86,3028.6000000000004,CRT00786,PRD0093
TRX000268,9,153.95,1385.55,CRT01328,PRD0132
TRX000269,5,172.26,861.3,CRT02310,PRD0078
TRX000270,5,292.23,1461.15,CRT01864,PRD0073
TRX000271,5,288.92,1444.6,CRT02312,PRD0191
TRX000272,1,196.43,196.43,CRT00110,PRD0179
TRX000273,9,121.08,1089.72,CRT02671,PRD0151
TRX000274,9,239.52,2155.6800000000003,CRT03281,PRD0085
TRX000275,10,30.96,309.6,CRT03186,PRD0139
TRX000276,6,125.8,754.8,CRT02641,PRD0159
TRX000277,10,301.87,3018.7,CRT01177,PRD0121
TRX000278,4,171.38,685.52,CRT02899,PRD0037
TRX000279,1,11.49,11.49,CRT00919,PRD0195
TRX000280,4,242.9,971.6,CRT02637,PRD0164
TRX000281,3,288.19,864.5699999999999,CRT00758,PRD0176
TRX000282,1,195.42,195.42,CRT00096,PRD0162
TRX000283,8,42.58,340.64,CRT02541,PRD0095
TRX000284,6,97.82,586.92,CRT02176,PRD0172
TRX000285,7,175.98,1231.86,CRT03031,PRD0021
TRX000286,1,282.78,282.78,CRT02740,PRD0111
TRX000287,6,178.11,1068.66,CRT03250,PRD0004
TRX000288,3,115.19,345.57,CRT02634,PRD0018
TRX000289,7,100.84,705.88,CRT02826,PRD0170
TRX000290,10,96.92,969.2,CRT01937,PRD0124
TRX000291,10,310.43,3104.3,CRT03334,PRD0113
TRX000292,1,344.9,344.9,CRT03264,PRD0035
TRX000293,2,80.42,160.84,CRT01006,PRD0140
TRX000294,6,297.0,1782.0,CRT03469,PRD0009
TRX000295,3,115.14,345.42,CRT01872,PRD0034
TRX000296,4,310.43,1241.72,CRT01484,PRD0113
TRX000297,1,15.96,15.96,CRT02518,PRD0090
TRX000298,3,301.82,905.46,CRT02692,PRD0054
TRX000299,10,301.82,3018.2,CRT00911,PRD0054
TRX000300,10,283.35,2833.5,CRT03362,PRD0154
TRX000301,10,115.14,1151.4,CRT01636,PRD0034
TRX000302,7,301.82,2112.74,CRT03475,PRD0054
TRX000303,7,197.06,1379.42,CRT00834,PRD0086
TRX000304,4,140.04,560.16,CRT03177,PRD0068
TRX000305,4,256.15,1024.6,CRT00983,PRD0040
TRX000306,1,194.83,194.83,CRT02390,PRD0165
TRX000307,10,301.5,3015.0,CRT00961,PRD0115
TRX000308,3,15.96,47.88,CRT03496,PRD0090
TRX000309,4,63.71,254.84,CRT02700,PRD0153
TRX000310,6,149.12,894.72,CRT01036,PRD0003
TRX000311,7,308.05,2156.35,CRT01999,PRD0072
TRX000312,6,252.15,1512.9,CRT00136,PRD0059
TRX000313,5,166.93,834.6500000000001,CRT00960,PRD0108
TRX000314,1,151.36,151.36,CRT00941,PRD0150
TRX000315,4,260.49,1041.96,CRT00877,PRD0076
TRX000316,1,63.71,63.71,CRT02286,PRD0153
TRX000317,8,129.22,1033.76,CRT02701,PRD0084
TRX000318,10,141.38,1413.8,CRT00044,PRD0114
TRX000319,10,59.71,597.1,CRT01075,PRD0057
TRX000320,2,179.52,359.04,CRT02313,PRD0094
TRX000321,6,256.15,1536.9,CRT02926,PRD0040
TRX000322,5,302.95,1514.75,CRT02967,PRD0087
TRX000323,1,55.45,55.45,CRT01554,PRD0142
TRX000324,3,103.06,309.18,CRT00061,PRD0013
TRX000325,8,149.12,1192.96,CRT00032,PRD0003
TRX000326,4,241.82,967.28,CRT00130,PRD0192
TRX000327,3,291.12,873.36,CRT01256,PRD0120
TRX000328,1,234.97,234.97,CRT02233,PRD0046
TRX000329,2,120.9,241.8,CRT01949,PRD0175
TRX000330,3,146.67,440.01,CRT01431,PRD0126
TRX000331,10,30.34,303.4,CRT02029,PRD0063
TRX000332,6,344.39,2066.34,CRT00279,PRD0149
TRX000333,4,301.82,1207.28,CRT03140,PRD0054
TRX000334,2,13.65,27.3,CRT01931,PRD0019
TRX000335,9,318.04,2862.36,CRT03337,PRD0146
TRX000336,6,327.59,1965.54,CRT01542,PRD0047
TRX000337,1,263.29,263.29,CRT00904,PRD0157
TRX000338,1,301.87,301.87,CRT02754,PRD0121
TRX000339,5,260.65,1303.25,CRT00909,PRD0168
TRX000340,3,149.36,448.08,CRT01733,PRD0007
TRX000341,4,263.29,1053.16,CRT00796,PRD0157
TRX000342,2,15.79,31.58,CRT00611,PRD0096
TRX000343,9,223.15,2008.35,CRT03050,PRD0016
TRX000344,3,198.63,595.89,CRT02296,PRD0135
TRX000345,1,162.15,162.15,CRT00815,PRD0010
TRX000346,7,136.36,954.52,CRT02292,PRD0098
TRX000347,9,312.35,2811.15,CRT00645,PRD0130
TRX000348,3,194.5,583.5,CRT01774,PRD0083
TRX000349,1,13.65,13.65,CRT01542,PRD0019
TRX000350,5,301.22,1506.1,CRT01111,PRD0045
TRX000351,9,233.03,2097.27,CRT01937,PRD0102
TRX000352,2,200.1,400.2,CRT00798,PRD0182
TRX000353,1,99.29,99.29,CRT03331,PRD0053
TRX000354,10,194.99,1949.9,CRT03472,PRD0043
TRX000355,4,104.38,417.52,CRT03414,PRD0011
TRX000356,1,318.04,318.04,CRT00057,PRD0146
TRX000357,6,134.36,806.1600000000001,CRT02958,PRD0017
TRX000358,5,121.08,605.4,CRT02973,PRD0151
TRX000359,9,259.17,2332.53,CRT01892,PRD0169
TRX000360,5,190.14,950.7,CRT00157,PRD0193
TRX000361,8,76.57,612.56,CRT00822,PRD0071
TRX000362,4,129.22,516.88,CRT00383,PRD0084
TRX000363,9,217.4,1956.6,CRT01775,PRD0180
TRX000364,6,100.84,605.04,CRT00397,PRD0170
TRX000365,8,209.57,1676.56,CRT00272,PRD0027
TRX000366,8,288.19,2305.52,CRT00715,PRD0176
TRX000367,10,336.37,3363.7,CRT01997,PRD0152
TRX000368,8,151.12,1208.96,CRT02902,PRD0081
TRX000369,4,144.46,577.84,CRT02384,PRD0185
TRX000370,10,318.21,3182.1,CRT00250,PRD0181
TRX000371,9,263.29,2369.61,CRT01493,PRD0157
TRX000372,3,229.76,689.28,CRT00991,PRD0074
TRX000373,5,339.13,1695.65,CRT00087,PRD0060
TRX000374,6,30.96,185.76,CRT02125,PRD0139
TRX000375,6,46.73,280.38,CRT01262,PRD0104
TRX000376,4,242.9,971.6,CRT03413,PRD0164
TRX000377,9,151.36,1362.2400000000002,CRT03141,PRD0150
TRX000378,2,301.5,603.0,CRT01312,PRD0115
TRX000379,6,281.86,1691.16,CRT03299,PRD0188
TRX000380,2,153.58,307.16,CRT01030,PRD0030
TRX000381,9,15.79,142.11,CRT00110,PRD0096
TRX000382,3,80.42,241.26,CRT01290,PRD0140
TRX000383,8,281.93,2255.44,CRT01019,PRD0116
TRX000384,3,51.02,153.06,CRT00526,PRD0022
TRX000385,4,87.81,351.24,CRT02070,PRD0156
TRX000386,9,321.99,2897.91,CRT00372,PRD0062
TRX000387,3,297.0,891.0,CRT00741,PRD0009
TRX000388,7,321.66,2251.6200000000003,CRT01096,PRD0091
TRX000389,5,259.17,1295.85,CRT02506,PRD0169
TRX000390,3,310.43,931.29,CRT02598,PRD0113
TRX000391,10,228.33,2283.3,CRT02743,PRD0005
TRX000392,6,349.85,2099.1000000000004,CRT02495,PRD0196
TRX000393,2,292.23,584.46,CRT03290,PRD0073
TRX000394,9,121.08,1089.72,CRT01326,PRD0151
TRX000395,6,197.06,1182.36,CRT02040,PRD0086
TRX000396,3,140.04,420.12,CRT02300,PRD0068
TRX000397,6,119.47,716.8199999999999,CRT00526,PRD0008
TRX000398,6,55.45,332.70000000000005,CRT02670,PRD0142
TRX000399,8,57.82,462.56,CRT02273,PRD0089
TRX000400,7,74.71,522.9699999999999,CRT03344,PRD0183
TRX000401,9,332.64,2993.76,CRT03356,PRD0119
TRX000402,9,164.79,1483.11,CRT03474,PRD0050
TRX000403,2,207.27,414.54,CRT01979,PRD0006
TRX000404,6,275.78,1654.6799999999998,CRT03493,PRD0097
TRX000405,6,57.82,346.92,CRT02207,PRD0089
TRX000406,10,194.99,1949.9,CRT02569,PRD0043
TRX000407,1,242.9,242.9,CRT01887,PRD0164
TRX000408,4,42.58,170.32,CRT00425,PRD0095
TRX000409,1,125.8,125.8,CRT03075,PRD0159
TRX000410,9,318.21,2863.89,CRT02794,PRD0181
TRX000411,2,286.9,573.8,CRT02125,PRD0110
TRX000412,10,301.62,3016.2,CRT02308,PRD0028
TRX000413,7,208.25,1457.75,CRT01822,PRD0147
TRX000414,10,239.52,2395.2000000000003,CRT01110,PRD0085
TRX000415,6,198.09,1188.54,CRT00683,PRD0178
TRX000416,5,15.79,78.94999999999999,CRT02014,PRD0096
TRX000417,5,301.5,1507.5,CRT03189,PRD0115
TRX000418,9,59.71,537.39,CRT01151,PRD0057
TRX000419,8,134.36,1074.88,CRT02797,PRD0017
TRX000420,7,178.11,1246.77,CRT03422,PRD0004
TRX000421,2,234.25,468.5,CRT00809,PRD0103
TRX000422,6,233.03,1398.18,CRT01102,PRD0102
TRX000423,1,233.03,233.03,CRT03404,PRD0102
TRX000424,5,148.18,740.9000000000001,CRT02426,PRD0066
TRX000425,9,26.82,241.38,CRT01558,PRD0101
TRX000426,9,148.18,1333.62,CRT03352,PRD0066
TRX000427,5,291.12,1455.6,CRT01435,PRD0120
TRX000428,10,124.75,1247.5,CRT00279,PRD0166
TRX000429,2,172.26,344.52,CRT01962,PRD0078
TRX000430,6,121.08,726.48,CRT00268,PRD0151
TRX000431,1,301.5,301.5,CRT01269,PRD0115
TRX000432,9,228.33,2054.9700000000003,CRT01695,PRD0041
TRX000433,10,303.73,3037.3,CRT00807,PRD0136
TRX000434,3,115.14,345.42,CRT02753,PRD0034
TRX000435,5,46.73,233.65,CRT00805,PRD0104
TRX000436,5,96.92,484.6,CRT02898,PRD0124
TRX000437,7,100.84,705.88,CRT03454,PRD0170
TRX000438,5,336.37,1681.85,CRT03241,PRD0152
TRX000439,1,156.17,156.17,CRT00858,PRD0198
TRX000440,4,228.33,913.32,CRT03183,PRD0005
TRX000441,6,259.17,1555.02,CRT02360,PRD0169
TRX000442,1,246.16,246.16,CRT02331,PRD0160
TRX000443,8,9.29,74.32,CRT02120,PRD0128
TRX000444,7,100.84,705.88,CRT02786,PRD0170
TRX000445,10,259.17,2591.7000000000003,CRT01196,PRD0169
TRX000446,6,9.29,55.74,CRT00413,PRD0128
TRX000447,6,301.5,1809.0,CRT01430,PRD0115
TRX000448,6,301.62,1809.72,CRT01768,PRD0028
TRX000449,10,78.71,787.0999999999999,CRT00520,PRD0024
TRX000450,4,10.72,42.88,CRT01730,PRD0092
TRX000451,6,99.29,595.74,CRT03086,PRD0053
TRX000452,6,97.82,586.92,CRT00694,PRD0172
TRX000453,9,239.52,2155.6800000000003,CRT00630,PRD0085
TRX000454,9,13.28,119.52,CRT01590,PRD0141
TRX000455,2,223.15,446.3,CRT00584,PRD0016
TRX000456,1,330.57,330.57,CRT01466,PRD0173
TRX000457,9,116.26,1046.34,CRT02680,PRD0137
TRX000458,3,57.82,173.46,CRT02490,PRD0089
TRX000459,3,316.62,949.86,CRT01645,PRD0082
TRX000460,8,88.65,709.2,CRT00354,PRD0042
TRX000461,8,260.65,2085.2,CRT03044,PRD0168
TRX000462,6,63.71,382.26,CRT02919,PRD0153
TRX000463,5,151.12,755.6,CRT00084,PRD0081
TRX000464,8,267.47,2139.76,CRT00585,PRD0033
TRX000465,8,241.37,1930.96,CRT00256,PRD0187
TRX000466,8,303.73,2429.84,CRT01803,PRD0136
TRX000467,8,288.19,2305.52,CRT01853,PRD0176
TRX000468,5,42.58,212.9,CRT01359,PRD0095
TRX000469,6,80.62,483.72,CRT01479,PRD0189
TRX000470,10,196.2,1962.0,CRT00447,PRD0117
TRX000471,3,86.2,258.6,CRT02440,PRD0036
TRX000472,6,260.65,1563.9,CRT00846,PRD0168
TRX000473,5,260.65,1303.25,CRT01027,PRD0168
TRX000474,2,134.36,268.72,CRT01179,PRD0017
TRX000475,3,144.4,433.2000000000001,CRT02887,PRD0200
TRX000476,4,242.9,971.6,CRT01179,PRD0164
TRX000477,9,241.37,2172.33,CRT02131,PRD0187
TRX000478,8,248.8,1990.4,CRT00378,PRD0099
TRX000479,3,310.43,931.29,CRT02528,PRD0113
TRX000480,5,129.22,646.1,CRT00259,PRD0084
TRX000481,10,88.06,880.6,CRT03223,PRD0065
TRX000482,4,221.23,884.92,CRT03325,PRD0177
TRX000483,8,228.33,1826.64,CRT03188,PRD0041
TRX000484,10,331.95,3319.5,CRT02208,PRD0161
