product_id,product_name,product_price_original,currency_original,price_date,product_source
PRD0052,Vis 296,68.6,EUR,2026-07-15,INTERNE
PRD0053,Tournevis 287,99.29,EUR,2026-07-08,INTERNE
PRD0054,Scie 927,301.82,EUR,2026-07-18,INTERNE
PRD0055,Perceuse 767,349.75,EUR,2026-07-01,INTERNE
PRD0056,Vis 270,143.73,EUR,2026-07-16,INTERNE
PRD0057,Tournevis 160,59.71,EUR,2026-07-01,INTERNE
PRD0058,Planche 902,275.33,EUR,2026-07-10,INTERNE
PRD0059,Pince 777,252.15,EUR,2026-07-05,INTERNE
PRD0060,Planche 322,339.13,EUR,2026-07-19,INTERNE
PRD0061,Perceuse 865,111.48,EUR,2026-07-02,INTERNE
PRD0062,Scie 614,321.99,EUR,2026-07-17,INTERNE
PRD0063,Perceuse 620,30.34,EUR,2026-07-06,INTERNE
PRD0064,Ampoule 169,237.14,EUR,2026-07-08,INTERNE
PRD0065,Peinture 683,88.06,EUR,2026-07-20,INTERNE
PRD0066,Ampoule 183,148.18,EUR,2026-07-19,INTERNE
PRD0067,Pince 423,327.31,EUR,2026-07-07,INTERNE
PRD0068,Vis 371,140.04,EUR,2026-07-22,INTERNE
PRD0069,Planche 568,112.37,EUR,2026-07-25,INTERNE
PRD0070,Perceuse 569,218.35,EUR,2026-07-19,INTERNE
PRD0071,Peinture 650,76.57,EUR,2026-07-09,INTERNE
PRD0072,Carrelage 170,308.05,EUR,2026-07-12,INTERNE
PRD0073,Marteau 548,292.23,EUR,2026-07-23,INTERNE
PRD0074,Ampoule 926,229.76,EUR,2026-07-01,INTERNE
PRD0075,Planche 779,38.5,EUR,2026-07-05,INTERNE
PRD0076,Peinture 209,260.49,EUR,2026-07-05,INTERNE
PRD0077,Planche 719,75.69,EUR,2026-07-11,INTERNE
PRD0078,Planche 617,172.26,EUR,2026-07-02,INTERNE
PRD0079,Tournevis 949,98.65,EUR,2026-07-01,INTERNE
PRD0080,Marteau 752,342.98,EUR,2026-07-06,INTERNE
PRD0081,Pince 822,151.12,EUR,2026-07-01,INTERNE
PRD0082,Peinture 807,316.62,EUR,2026-07-18,INTERNE
PRD0083,Carrelage 696,194.5,EUR,2026-07-14,INTERNE
PRD0084,Perceuse 415,129.22,EUR,2026-07-26,INTERNE
PRD0085,Carrelage 315,239.52,EUR,2026-07-22,INTERNE
PRD0086,Carrelage 898,197.06,EUR,2026-07-14,INTERNE
PRD0087,Marteau 342,302.95,EUR,2026-07-26,INTERNE
PRD0088,Tournevis 125,64.83,EUR,2026-07-11,INTERNE
PRD0089,Vis 373,57.82,EUR,2026-07-23,INTERNE
PRD0090,Tournevis 993,15.96,EUR,2026-07-16,INTERNE
PRD0091,Vis 936,321.66,EUR,2026-07-12,INTERNE
PRD0092,Vis 328,10.72,EUR,2026-07-07,INTERNE
PRD0093,Carrelage 385,302.86,EUR,2026-07-25,INTERNE
PRD0094,Carrelage 756,179.52,EUR,2026-07-22,INTERNE
PRD0095,Carrelage 128,42.58,EUR,2026-07-09,INTERNE
PRD0096,Ampoule 371,15.79,EUR,2026-07-20,INTERNE
PRD0097,Carrelage 846,275.78,EUR,2026-07-14,INTERNE
PRD0098,Pince 218,136.36,EUR,2026-07-19,INTERNE
PRD0099,Planche 145,248.8,EUR,2026-07-01,INTERNE
PRD0100,Pince 803,252.5,EUR,2026-07-24,INTERNE
PRD0101,Carrelage 541,26.82,EUR,2026-07-22,INTERNE
PRD0102,Ampoule 421,233.03,EUR,2026-07-04,INTERNE
PRD0103,Pince 416,234.25,EUR,2026-07-11,INTERNE
PRD0104,Planche 667,46.73,EUR,2026-07-14,INTERNE
PRD0105,Marteau 730,200.26,EUR,2026-07-13,INTERNE
PRD0106,Perceuse 411,102.2,EUR,2026-07-14,INTERNE
PRD0107,Ampoule 770,114.48,EUR,2026-07-15,INTERNE
PRD0108,Vis 623,166.93,EUR,2026-07-26,INTERNE
PRD0109,Peinture 390,181.62,EUR,2026-07-21,INTERNE
PRD0110,Carrelage 195,286.9,EUR,2026-07-25,INTERNE
PRD0111,Planche 330,282.78,EUR,2026-07-05,INTERNE
PRD0112,Perceuse 350,344.42,EUR,2026-07-20,INTERNE
PRD0113,Scie 524,310.43,EUR,2026-07-19,INTERNE
PRD0114,Tournevis 606,141.38,EUR,2026-07-05,INTERNE
PRD0115,Perceuse 868,301.5,EUR,2026-07-04,INTERNE
PRD0116,Vis 280,281.93,EUR,2026-07-23,INTERNE
PRD0117,Scie 151,196.2,EUR,2026-07-04,INTERNE
PRD0118,Marteau 920,163.96,EUR,2026-07-17,INTERNE
PRD0119,Ampoule 424,332.64,EUR,2026-07-15,INTERNE
PRD0120,Pince 536,291.12,EUR,2026-07-18,INTERNE
PRD0121,Marteau 861,301.87,EUR,2026-07-15,INTERNE
PRD0122,Vis 960,224.09,EUR,2026-07-25,INTERNE
PRD0123,Scie 741,85.64,EUR,2026-07-15,INTERNE
PRD0124,Planche 340,96.92,EUR,2026-07-11,INTERNE
PRD0125,Peinture 241,54.91,EUR,2026-07-13,INTERNE
PRD0126,Vis 165,146.67,EUR,2026-07-11,INTERNE
PRD0127,Scie 525,24.14,EUR,2026-07-14,INTERNE
PRD0128,Ampoule 812,9.29,EUR,2026-07-25,INTERNE
PRD0129,Tournevis 588,4.55,EUR,2026-07-12,INTERNE
PRD0130,Tournevis 973,312.35,EUR,2026-07-14,INTERNE
PRD0131,Pince 919,212.13,EUR,2026-07-08,INTERNE
PRD0132,Vis 379,153.95,EUR,2026-07-01,INTERNE
PRD0133,Carrelage 784,238.5,EUR,2026-07-13,INTERNE
PRD0134,Scie 230,343.3,EUR,2026-07-18,INTERNE
PRD0135,Tournevis 706,198.63,EUR,2026-07-01,INTERNE
PRD0136,Tournevis 238,303.73,EUR,2026-07-06,INTERNE
PRD0137,Planche 488,116.26,EUR,2026-07-15,INTERNE
PRD0138,Carrelage 879,308.17,EUR,2026-07-09,INTERNE
PRD0139,Planche 954,30.96,EUR,2026-07-01,INTERNE
PRD0140,Perceuse 458,80.42,EUR,2026-07-03,INTERNE
PRD0141,Perceuse 872,13.28,EUR,2026-07-08,INTERNE
PRD0142,Perceuse 736,55.45,EUR,2026-07-05,INTERNE
PRD0143,Peinture 677,331.85,EUR,2026-07-15,INTERNE
PRD0144,Carrelage 271,213.05,EUR,2026-07-24,INTERNE
PRD0145,Marteau 418,40.06,EUR,2026-07-01,INTERNE
PRD0146,Ampoule 793,318.04,EUR,2026-07-13,INTERNE
PRD0147,Vis 177,208.25,EUR,2026-07-21,INTERNE
PRD0148,Peinture 813,270.94,EUR,2026-07-22,INTERNE
PRD0149,Peinture 915,344.39,EUR,2026-07-26,INTERNE
PRD0150,Carrelage 645,151.36,EUR,2026-07-12,INTERNE
PRD0151,Pince 763,121.08,EUR,2026-07-14,INTERNE
PRD0152,Peinture 543,336.37,EUR,2026-07-21,INTERNE
PRD0153,Marteau 545,63.71,EUR,2026-07-17,INTERNE
PRD0154,Planche 730,283.35,EUR,2026-07-18,INTERNE
PRD0155,Scie 546,289.44,EUR,2026-07-19,INTERNE
PRD0156,Carrelage 972,87.81,EUR,2026-07-03,INTERNE
PRD0157,Scie 349,263.29,EUR,2026-07-19,INTERNE
PRD0158,Tournevis 444,12.47,EUR,2026-07-11,INTERNE
PRD0159,Scie 317,125.8,EUR,2026-07-09,INTERNE
PRD0160,Planche 710,246.16,EUR,2026-07-09,INTERNE
PRD0161,Perceuse 629,331.95,EUR,2026-07-03,INTERNE
PRD0162,Tournevis 600,195.42,EUR,2026-07-08,INTERNE
PRD0163,Scie 558,278.04,EUR,2026-07-03,INTERNE
PRD0164,Vis 514,242.9,EUR,2026-07-10,INTERNE
PRD0165,Carrelage 584,194.83,EUR,2026-07-12,INTERNE
PRD0166,Pince 438,124.75,EUR,2026-07-15,INTERNE
PRD0167,Planche 357,82.61,EUR,2026-07-24,INTERNE
PRD0168,Carrelage 222,260.65,EUR,2026-07-25,INTERNE
PRD0169,Vis 321,259.17,EUR,2026-07-09,INTERNE
PRD0170,Pince 711,100.84,EUR,2026-07-04,INTERNE
PRD0171,Planche 332,127.91,EUR,2026-07-10,INTERNE
PRD0172,Pince 229,97.82,EUR,2026-07-02,INTERNE
PRD0173,Planche 814,330.57,EUR,2026-07-21,INTERNE
PRD0174,Peinture 993,6.76,EUR,2026-07-10,INTERNE
PRD0175,Scie 551,120.9,EUR,2026-07-02,INTERNE
PRD0176,Scie 216,288.19,EUR,2026-07-13,INTERNE
PRD0177,Peinture 690,221.23,EUR,2026-07-02,INTERNE
PRD0178,Marteau 930,198.09,EUR,2026-07-10,INTERNE
PRD0179,Vis 221,196.43,EUR,2026-07-14,INTERNE
PRD0180,Ampoule 909,217.4,EUR,2026-07-25,INTERNE
PRD0181,Tournevis 561,318.21,USD,2026-07-10,EXTERNE
PRD0182,Tournevis 412,200.1,USD,2026-07-02,EXTERNE
PRD0183,Peinture 881,74.71,USD,2026-07-07,EXTERNE
PRD0184,Peinture 260,85.85,USD,2026-07-18,EXTERNE
PRD0185,Marteau 102,144.46,USD,2026-07-23,EXTERNE
PRD0186,Scie 398,13.84,USD,2026-07-10,EXTERNE
PRD0187,Scie 172,241.37,USD,2026-07-09,EXTERNE
PRD0188,Ampoule 777,281.86,USD,2026-07-07,EXTERNE
PRD0189,Peinture 657,80.62,USD,2026-07-05,EXTERNE
PRD0190,Marteau 173,23.22,USD,2026-07-26,EXTERNE
PRD0191,Ampoule 866,288.92,USD,2026-07-10,EXTERNE
PRD0192,Peinture 579,241.82,USD,2026-07-23,EXTERNE
PRD0193,Planche 612,190.14,USD,2026-07-15,EXTERNE
PRD0194,Ampoule 140,311.57,USD,2026-07-24,EXTERNE
PRD0195,Ampoule 356,11.49,USD,2026-07-08,EXTERNE
PRD0196,Ampoule 121,349.85,USD,2026-07-22,EXTERNE
PRD0197,Ampoule 141,267.68,USD,2026-07-06,EXTERNE
PRD0198,Pince 767,156.17,USD,2026-07-09,EXTERNE
PRD0199,Ampoule 546,223.09,USD,2026-07-16,EXTERNE
PRD0200,Scie 456,144.4,USD,2026-07-11,EXTERNE
